adm0code;adm0_en;adm0_fr;adm0_ht;adm1code;adm1_en;adm1_fr;adm1_ht;IHSI_UNFPA_2019;IHSI_UNFPA_2019_female;IHSI_UNFPA_2019_male
HT;Haiti;Haïti;Ayiti;HT01;West;Ouest;Lwès;5 010 20556;2 587 36000;2 422 84600
HT;Haiti;Haïti;Ayiti;HT02;South-East;Sud-Est;Sidès;893 90065;448 11100;445 79000
HT;Haiti;Haïti;Ayiti;HT03;North;Nord;Nò;1 159 76160;589 82500;569 93200
HT;Haiti;Haïti;Ayiti;HT04;North-East;Nord-Est;Nòdès;444 46307;221 50100;222 96600
HT;Haiti;Haïti;Ayiti;HT05;Artibonite;Artibonite;Latibonit;2 047 15254;1 034 06500;1 013 08500
HT;Haiti;Haïti;Ayiti;HT06;Centre;Centre;Sant;845 59417;413 64900;431 94700
HT;Haiti;Haïti;Ayiti;HT07;South;Sud;Sid;791 08500;382 08400;409 00000
HT;Haiti;Haïti;Ayiti;HT08;Grande'Anse;Grande'Anse;Grandans;481 06532;229 91400;251 15200
HT;Haiti;Haïti;Ayiti;HT09;North-West;Nord-Ouest;Nòdwès;868 58057;437 97500;430 60500
HT;Haiti;Haïti;Ayiti;HT10;Nippes;Nippes;Nip;351 59330;167 18500;184 40900
