,departement,cas_suspects,cas_confirmes,deces,taux_de_letalite,document_date
0,Artibonite,47,4,0,0.0,2020-04-15
1,Centre,14,1,0,0.0,2020-04-15
2,Grande'Anse,2,0,0,0.0,2020-04-15
3,Nippes,16,2,0,0.0,2020-04-15
4,Nord,28,0,0,0.0,2020-04-15
5,Nord-Est,24,7,2,0.29,2020-04-15
6,Nord-Ouest,7,1,0,0.0,2020-04-15
7,Ouest,317,24,1,0.04,2020-04-15
8,Sud,8,0,0,0.0,2020-04-15
9,Sud-Est,22,4,0,0.0,2020-04-15
10,Grand Total ,485,43,3,0.07,2020-04-15
11,Ouest,325,24,1,0.04,2020-04-16
12,Artibonite,47,4,0,0.0,2020-04-16
13,Nord-Est,24,8,2,0.25,2020-04-16
14,Sud-Est,24,4,0,0.0,2020-04-16
15,Nord,28,0,0,0.0,2020-04-16
16,Nippes,19,2,0,0.0,2020-04-16
17,Centre,14,1,0,0.0,2020-04-16
18,Sud,8,0,0,0.0,2020-04-16
19,Nord-Ouest,7,1,0,0.0,2020-04-16
20,Grande'Anse,2,0,0,0.0,2020-04-16
21,Grand Total ,498,44,3,0.07,2020-04-16
22,Artibonite,47,4,0,0.0,2020-04-14
23,Centre,14,1,0,0.0,2020-04-14
24,Grande'Anse,2,0,0,0.0,2020-04-14
25,Nippes,16,2,0,0.0,2020-04-14
26,Nord,28,0,0,0.0,2020-04-14
27,Nord-Est,20,7,2,0.29,2020-04-14
28,Nord-Ouest,7,1,0,0.0,2020-04-14
29,Ouest,290,22,1,0.05,2020-04-14
30,Sud,8,0,0,0.0,2020-04-14
31,Sud-Est,21,4,0,0.0,2020-04-14
32,Grand Total ,453,41,3,0.07,2020-04-14
33,Artibonite,47,4,0,0.0,2020-04-13
34,Centre,14,1,0,0.0,2020-04-13
35,Grande'Anse,2,0,0,0.0,2020-04-13
36,Nippes,16,2,0,0.0,2020-04-13
37,Nord,28,0,0,0.0,2020-04-13
38,Nord-Est,20,7,2,0.29,2020-04-13
39,Nord-Ouest,7,1,0,0.0,2020-04-13
40,Ouest,286,21,1,0.05,2020-04-13
41,Sud,8,0,0,0.0,2020-04-13
42,Sud-Est,21,4,0,0.0,2020-04-13
43,Grand Total ,449,40,3,0.08,2020-04-13
44,Artibonite,47,4,0,0.0,2020-04-12
45,Centre,14,1,0,0.0,2020-04-12
46,Grande'Anse,2,0,0,0.0,2020-04-12
47,Nippes,16,2,0,0.0,2020-04-12
48,Nord,28,0,0,0.0,2020-04-12
49,Nord-Est,20,7,2,0.29,2020-04-12
50,Nord-Ouest,7,1,0,0.0,2020-04-12
51,Ouest,276,21,1,0.05,2020-04-12
52,Sud,8,0,0,0.0,2020-04-12
53,Sud-Est,21,4,0,0.0,2020-04-12
54,Grand Total ,439,40,3,0.08,2020-04-12
55,Artibonite,12,1,0,0.0,2020-04-10
56,Centre,13,1,0,0.0,2020-04-10
57,Grande'Anse,2,0,0,0.0,2020-04-10
58,Nippes,14,2,0,0.0,2020-04-10
59,Nord,23,0,0,0.0,2020-04-10
60,Nord-Est,10,3,1,0.33,2020-04-10
61,Nord-Ouest,7,1,0,0.0,2020-04-10
62,Ouest,263,21,1,0.05,2020-04-10
63,Sud,8,0,0,0.0,2020-04-10
64,Sud-Est,21,4,0,0.0,2020-04-10
65,Grand Total ,373,33,2,0.06,2020-04-10
66,Artibonite,12,1,0,0.0,2020-04-09
67,Centre,13,1,0,0.0,2020-04-09
68,Grande'Anse,2,0,0,0.0,2020-04-09
69,Nippes,14,2,0,0.0,2020-04-09
70,Nord,21,0,0,0.0,2020-04-09
71,Nord-Est,10,3,1,0.33,2020-04-09
72,Nord-Ouest,7,1,0,0.0,2020-04-09
73,Guest,257,19,1,0.05,2020-04-09
74,Sud,8,0,0,0.0,2020-04-09
75,Sud-Est,21,4,0,0.0,2020-04-09
76,Grand Total ,365,31,2,0.06,2020-04-09
77,Artibonite,12,1,0,0.0,2020-04-08
78,Centre,11,0,0,0.0,2020-04-08
79,Grande'Anse,2,0,0,0.0,2020-04-08
80,Nippes,14,2,0,0.0,2020-04-08
81,Nord,21,0,0,0.0,2020-04-08
82,Nord-Est,10,3,1,0.33,2020-04-08
83,Nord-Ouest,6,1,0,0.0,2020-04-08
84,Ouest,227,19,1,0.05,2020-04-08
85,Sud,7,0,0,0.0,2020-04-08
86,Sud-Est,21,4,0,0.0,2020-04-08
87,Grand Total ,331,30,2,0.07,2020-04-08
88,Artibonite,12,1,0,0.0,2020-04-07
89,Centre,11,0,0,0.0,2020-04-07
90,Grande'Anse,1,0,0,0.0,2020-04-07
91,Nippes,14,2,0,0.0,2020-04-07
92,Nord,19,0,0,0.0,2020-04-07
93,Nord-Est,5,1,0,0.0,2020-04-07
94,Nord-Ouest,6,1,0,0.0,2020-04-07
95,Ouest,196,18,1,0.06,2020-04-07
96,Sud,6,0,0,0.0,2020-04-07
97,Sud-Est,21,4,0,0.0,2020-04-07
98,Grand Total,291,27,1,0.04,2020-04-07
